Banks,ROE,ROA,COD,COBR,ROAD,ROI,OPAST,INTINTOT,OTHINTOT,COMINTOT,NIITAST,SPRD,STEXTEX,PRVTAST,INTRMTAST,NETNPA,CRAR,BUSEMP,PFTEMP,
SBPAT0,16.73013756,1.061518858,6.691826859,9.964639389,10.57000823,10.39624534,2.849222185,87.66296412,12.33703588,8.932607772,3.86196144,3.801857429,21.45592317,1.787703328,2.350809886,6.09,12.6,123.62,0.99,SBPAT0
SBSAU7,18.43812721,1.445642866,7.866734244,0.284998935,13.55272249,10.96197003,2.43001015,85.85224623,14.14775377,10.4405021,3.619456324,4.604100119,21.48381547,0.984367285,2.817179956,6.47,12.14,67,0.89,SBSAU7
SBSAU8,20.02440989,1.501422734,7.480088805,0.869286525,11.92884608,12.65711755,2.295366986,84.3527077,15.6472923,10.61679477,3.634110545,4.7332458,26.15993648,0.793944252,3.131239277,6.98,18.14,79.28,1.58,SBSAU8
SBSAU9,6.154177273,0.397793947,7.629406652,0.325410925,11.55416731,12.29292299,1.920418751,86.79876163,13.20123837,10.56592819,3.492139842,4.240921717,25.32028926,1.522624804,3.00252268,7.69,14.35,82.1,0.31,SBSAU9
SBSAU0,17.26360701,1.147732714,7.674595462,0.612490331,11.30440218,11.34069789,2.154695113,85.93927007,14.06072993,10.11311205,3.203493224,3.645973969,22.02115286,1.006962399,2.562706451,7.87,14.48,98.28,1.09,SBSAU0
SBT7,19.27211123,0.51664836,9.34850907,19.86346067,16.39092441,10.2548232,1.932932733,87.97710131,12.02289869,8.495492561,3.175914147,4.478633786,16.83065922,1.416284373,2.837121919,8.82,8.17,74.2,0.31,SBT7
SBT8,18.00347284,0.693057266,8.825769263,17.08570272,13.831243,11.25622242,2.18898667,86.84248167,13.15751833,8.228974119,2.936492054,3.84140331,16.2847361,1.495929404,2.376165214,12.21,11.48,89.81,0.51,SBT8
SBT9,11.35274149,0.396414522,8.374158686,18.28368769,11.18317387,10.72689167,1.378721816,86.97536338,13.02463662,9.471360001,2.18323749,2.577383901,16.96505749,0.982307294,2.203156528,10.8,10.27,99.97,0.35,SBT9
SBT0,15.32148702,0.534355181,8.079110484,40.53231531,10.03341476,11.49531246,1.465277971,85.62501611,14.37498389,9.538434432,2.267294072,2.666281098,18.89788658,0.93092279,2.367515424,8.58,11.09,121.65,0.54,SBT0
SYN7,4.490795745,0.382305388,6.803070339,3.409768832,12.2862312,10.76029025,0.563272308,91.07497944,8.925020564,4.575513832,3.169057439,4.627120311,28.62850974,0.18096692,3.499886386,7.53,8.8,49,0.2,SYN7
SYN8,5.469195538,0.424424957,6.649136136,7.284015688,10.74578927,11.55127461,0.695222294,88.49106283,11.50893717,3.914527048,2.854982367,4.518669069,28.31525141,0.270797337,3.290513163,5.78,10.49,53.26,0.39,SYN8
SYN9,20.41585929,0.651231996,7.032523964,3.370611131,11.69296859,11.44089506,0.849813399,88.50135142,11.49864858,3.820446493,3.020624628,4.544550001,27.13788739,0.198581403,3.408983872,3.93,9.57,88.83,0.42,SYN9
SYN0,20.57079321,0.793900563,6.6594084,1.740247758,10.84801725,10.70212974,1.032918289,88.83144659,11.16855341,3.685917438,3.038336567,4.123528152,27.16444689,0.239017725,3.133715183,3.17,11.45,111.36,0.66,SYN0
UBI7,-6.249212583,-0.891862155,7.626108507,0.812274587,12.68716064,9.372500039,-0.43144481,91.19113842,8.808861581,5.316251516,1.619441968,2.841993034,23.8560454,0.460417345,2.814220784,18.7,8.23,58,-1,UBI7
UBI8,0.512903506,0.066869091,7.63371908,4.522974187,11.0439151,11.29998198,1.141893683,90.4705178,9.529482198,3.977901129,2.768593317,3.584415691,23.59183022,1.075024592,2.60370599,14.1,8.4,72.01,0.04,UBI8
UBI9,0.745051812,0.085374975,7.544898049,4.739336937,10.81091795,10.76323215,0.26949332,92.68932342,7.310676579,3.81277609,2.001713378,3.23272855,22.40591088,0.184118345,2.39792355,15.06,9.6,81.46,0.07,UBI9
UBI0,1.592037927,0.160758234,7.560632424,7.089336814,10.48649403,11.43344939,0.43210148,92.39992004,7.600079958,3.819405893,2.103998189,3.579265868,22.06221913,0.271343245,2.387378784,12.7,9.6,100.28,0.15,UBI0
UCO7,-8.324315403,-1.078240458,7.613127063,20.67344397,11.90323695,9.246822127,-0.445168673,91.10857957,8.891420426,5.406087211,1.93485195,2.778488153,26.30533364,0.633071785,3.158067144,13.73,3.16,51,-0.62,UCO7
UCO8,-3.913689685,-0.517677856,7.207498617,8.372548801,10.03682446,10.41474101,0.080918237,88.25306204,11.74693796,5.335705575,1.938983763,3.045564976,27.31702504,0.598596093,2.893053756,11.14,9.07,56,-0.3,UCO8
UCO9,-2.572611452,-0.326552301,7.263249823,11.59842436,10.45972498,10.38525424,0.184945127,90.03904998,9.960950019,5.27811709,2.151404586,3.15297638,26.27886969,0.511497428,2.868850415,10.83,9.63,73,-0.2,UCO9
UCO0,1.381394282,0.155546861,7.347491376,9.223718544,10.00555276,10.84174075,0.750622495,88.8204178,11.1795822,4.760434316,2.34553909,3.130991809,24.69937012,0.595075634,2.651453761,8.75,9.15,89,0.12,UCO0
UNI7,15.45851996,0.963066668,7.587519041,15.26415726,14.12049196,11.51003745,1.524087294,92.051534,7.948466001,4.035207915,3.408158797,5.336536375,18.22750716,0.561020626,2.771754092,6.98,10.53,86.36,0.7,UNI7
UNI8,15.8573167,0.971124244,7.262060733,13.95538645,12.25332072,11.70642251,1.357201889,92.34181403,7.658185967,3.635785802,3.170608592,4.7328462,18.43856963,0.386077644,2.619778305,7.66,10.86,96.98,0.81,UNI8
UNI9,9.522161015,0.513022008,7.197046213,16.06878586,11.97062725,10.47168502,0.992536519,91.61488826,8.385111742,3.216541876,2.662560894,3.997537993,18.21981591,0.479514511,2.510827939,8.7,10.09,112.94,0.52,UNI9
UNI0,8.626381493,0.430711927,7.888261439,4.187458267,12.20179035,16.18797875,1.204942333,89.54928062,10.45071938,5.967802823,3.505437811,6.067228333,26.32507674,0.774230406,3.550738239,7.97,11.42,135.44,0.33,UNI0
VIJ7,2.66610246,0.235471812,7.019258545,3.936262259,14.87962391,10.77235275,0.431722741,92.04644686,7.95355314,3.974597246,2.905739993,5.576885757,24.66195237,0.196250929,3.260219149,9.56,11.53,60,0.1,VIJ7
VIJ8,3.232668236,0.246917909,6.549944527,0.949583557,11.34582771,10.43932067,0.675263183,90.85411592,9.145884084,4.181347941,2.758993602,4.306247935,24.22901189,0.428345274,2.947550098,7.5,10.3,71.68,0.17,VIJ8
VIJ9,4.293833846,0.272441451,6.886159494,2.145605239,12.64035092,10.61537603,1.046740005,90.16540075,9.83459925,3.918293086,2.859431163,4.658573144,22.19234592,0.774298554,2.795694579,6.72,10,89.86,0.22,VIJ9
VIJ0,11.81894821,0.413067547,6.714549896,5.197299579,11.88227075,11.50097983,0.980603125,91.11293086,8.887069136,3.858180921,3.034434535,4.969250609,22.93287296,0.567535578,2.966945989,6.65,10.61,105.49,0.36,VIJ0
